input_size,kernel_size,bias,stride,padding,dilation,groups,time_cost
"[1, 960, 12, 13]","[960, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[960],0.001920461654663086
"[2, 64, 200, 304]","[64, 64, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0030159950256347656
"[1, 256, 7, 9]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.010772943496704102
"[2, 256, 13, 18]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.012942790985107422
"[1, 128, 40, 52]","[96, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0018608570098876953
"[4, 128, 14, 14]","[32, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0016772747039794922
"[1, 1024, 30, 35]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.006085872650146484
"[1, 512, 118, 88]","[128, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004059791564941406
"[1, 256, 104, 100]","[576, 256, 1, 1]",[576],"[1, 1]","[0, 0]","[1, 1]",[1],0.0064907073974609375
"[1, 128, 100, 112]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005012989044189453
"[1, 1024, 35, 30]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.008253097534179688
"[4, 384, 14, 14]","[64, 384, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0019638538360595703
"[1, 256, 118, 88]","[256, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.012856483459472656
"[1, 1024, 19, 19]","[24, 1024, 3, 3]",[24],"[1, 1]","[1, 1]","[1, 1]",[1],0.007219552993774414
"[2, 256, 38, 25]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.01473093032836914
"[1, 512, 82, 80]","[256, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.006531953811645508
"[1, 384, 14, 26]","[64, 384, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0016787052154541016
"[14, 256, 28, 28]","[80, 256, 1, 1]",[80],"[1, 1]","[0, 0]","[1, 1]",[1],0.0022280216217041016
"[1, 256, 202, 192]","[128, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002912759780883789
"[1, 256, 19, 13]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0067291259765625
"[4, 544, 14, 14]","[128, 544, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004791736602783203
"[4, 192, 14, 14]","[1280, 192, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.005614042282104492
"[2, 256, 100, 152]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.012531042098999023
"[2, 256, 10, 7]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0026907920837402344
"[4, 3, 224, 224]","[32, 3, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.0015637874603271484
"[2, 64, 2, 2]","[16, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012421607971191406
"[32, 128, 150, 17]","[256, 128, 1, 1]",[256],"[2, 1]","[0, 0]","[1, 1]",[1],0.002269744873046875
"[4, 576, 14, 14]","[96, 576, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0017461776733398438
"[1, 1024, 50, 76]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.0342860221862793
"[2, 512, 25, 42]","[2048, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.021138668060302734
"[32, 256, 8, 25]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.012147903442382812
"[1, 256, 21, 12]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.0046041011810302734
"[1, 256, 52, 50]","[144, 256, 1, 1]",[144],"[1, 1]","[0, 0]","[1, 1]",[1],0.003524303436279297
"[1, 256, 13, 19]","[36, 256, 3, 3]",[36],"[1, 1]","[1, 1]","[1, 1]",[1],0.0033142566680908203
"[2, 256, 38, 25]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0072476863861083984
"[2, 256, 50, 84]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.013651847839355469
"[1, 1024, 44, 46]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009413003921508789
"[1, 256, 69, 60]","[256, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.010439872741699219
"[2, 512, 100, 152]","[256, 512, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.004456996917724609
"[1, 320, 12, 13]","[1280, 320, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.007624149322509766
"[1, 256, 21, 12]","[256, 256, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.014369010925292969
"[2, 256, 25, 39]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.011614799499511719
"[1, 64, 176, 181]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0024640560150146484
"[1, 128, 100, 136]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0039539337158203125
"[1, 256, 136, 100]","[720, 256, 3, 3]",[720],"[1, 1]","[1, 1]","[1, 1]",[1],0.02832198143005371
"[48, 64, 56, 56]","[64, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0027785301208496094
"[1, 256, 19, 13]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.012124776840209961
"[1, 256, 100, 136]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.002184152603149414
"[2, 1024, 50, 84]","[512, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.009808063507080078
"[4, 928, 14, 14]","[128, 928, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0055811405181884766
"[2, 256, 50, 76]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0016880035400390625
"[32, 128, 150, 17]","[384, 128, 1, 1]",[384],"[1, 1]","[0, 0]","[1, 1]",[1],0.002030611038208008
"[16, 3, 512, 512]","[64, 3, 7, 7]",[False],"[2, 2]","[3, 3]","[1, 1]",[1],0.001020193099975586
"[1, 160, 7, 13]","[960, 160, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0036449432373046875
"[2, 256, 128, 128]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0010426044464111328
"[1, 96, 12, 13]","[192, 96, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004087209701538086
"[1, 128, 84, 97]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00390625
"[1, 256, 48, 60]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.010619163513183594
"[2, 128, 152, 100]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004408359527587891
"[1, 2048, 21, 25]","[512, 2048, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.018826723098754883
"[1, 512, 26, 25]","[2048, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.01855778694152832
"[1, 3, 651, 640]","[64, 3, 7, 7]",[False],"[2, 2]","[3, 3]","[1, 1]",[1],0.002645254135131836
"[1, 256, 100, 152]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.012055635452270508
"[2, 1024, 64, 64]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.010666608810424805
"[4, 128, 56, 56]","[128, 128, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.0041675567626953125
"[32, 128, 24, 80]","[256, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0016231536865234375
"[2, 256, 25, 34]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.012895345687866211
"[1, 512, 100, 112]","[256, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004656791687011719
"[4, 448, 14, 14]","[128, 448, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.003421306610107422
"[1, 2048, 22, 23]","[256, 2048, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.010205984115600586
"[1, 128, 175, 152]","[128, 128, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.00545811653137207
"[4, 96, 28, 28]","[96, 96, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0023345947265625
"[1, 384, 20, 26]","[64, 384, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002477407455444336
"[1, 512, 59, 44]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.037470102310180664
"[2, 256, 76, 50]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.005413055419921875
"[1, 3, 800, 1088]","[64, 3, 7, 7]",[False],"[2, 2]","[3, 3]","[1, 1]",[1],0.0019762516021728516
"[32, 256, 4, 26]","[512, 256, 3, 3]",[512],"[1, 1]","[1, 1]","[1, 1]",[1],0.024701595306396484
"[1, 256, 175, 152]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.007706165313720703
"[4, 1024, 1, 1]","[64, 1024, 1, 1]",[64],"[1, 1]","[0, 0]","[1, 1]",[1],0.004852771759033203
"[4, 416, 28, 28]","[128, 416, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0030069351196289062
"[1, 256, 36, 36]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.0046045780181884766
"[1, 3, 1216, 800]","[64, 3, 7, 7]",[False],"[2, 2]","[3, 3]","[1, 1]",[1],0.0026144981384277344
"[2, 256, 17, 13]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.002257108688354492
"[1, 128, 60, 69]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.004197597503662109
"[1, 1024, 44, 38]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009987354278564453
"[4, 192, 28, 28]","[128, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0016634464263916016
"[4, 144, 56, 56]","[144, 1, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[144],0.0008931159973144531
"[1, 1024, 30, 35]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.034778594970703125
"[1, 256, 152, 100]","[720, 256, 3, 3]",[720],"[1, 1]","[1, 1]","[1, 1]",[1],0.030078411102294922
"[1, 256, 200, 296]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.0030128955841064453
"[1, 512, 168, 96]","[256, 512, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.005502223968505859
"[1, 256, 59, 44]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.012521505355834961
"[1, 128, 100, 148]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.002889871597290039
"[1, 64, 176, 181]","[64, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0009477138519287109
"[1, 256, 13, 20]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.0011451244354248047
"[1, 64, 200, 296]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012238025665283203
"[1, 144, 96, 104]","[144, 1, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[144],0.001390695571899414
"[4, 256, 56, 56]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.011887311935424805
"[2, 128, 64, 64]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.006259441375732422
"[2, 3, 512, 512]","[32, 3, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.0015048980712890625
"[1, 384, 20, 26]","[384, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[384],0.0008633136749267578
"[2, 256, 25, 42]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.010956764221191406
"[4, 80, 14, 14]","[480, 80, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0034601688385009766
"[2, 512, 168, 100]","[256, 512, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.0044214725494384766
"[2, 256, 42, 25]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.002057313919067383
"[4, 128, 112, 112]","[256, 128, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.006745815277099609
"[1, 256, 100, 152]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.0013773441314697266
"[2, 256, 200, 304]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.003362894058227539
"[2, 256, 25, 34]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0013675689697265625
"[1, 144, 56, 104]","[144, 1, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[144],0.0007421970367431641
"[4, 128, 1, 1]","[2048, 128, 1, 1]",[2048],"[1, 1]","[0, 0]","[1, 1]",[1],0.005774736404418945
"[32, 256, 8, 6]","[32, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001256704330444336
"[1, 192, 14, 26]","[64, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012412071228027344
"[8, 64, 64, 48]","[64, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0008511543273925781
"[1, 512, 34, 25]","[2048, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.017131805419921875
"[1, 192, 40, 52]","[32, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0018837451934814453
"[2, 256, 13, 17]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.0012736320495605469
"[2, 1024, 16, 16]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009219169616699219
"[1, 3, 480, 547]","[64, 3, 7, 7]",[False],"[2, 2]","[3, 3]","[1, 1]",[1],0.0014140605926513672
"[1, 256, 17, 13]","[256, 256, 3, 3]",[256],"[2, 2]","[1, 1]","[1, 1]",[1],0.01100015640258789
"[1, 96, 48, 52]","[192, 96, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.007070064544677734
"[32, 32, 64, 48]","[32, 32, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0014500617980957031
"[2, 1024, 50, 76]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005711078643798828
"[1, 512, 96, 168]","[128, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004027366638183594
"[1, 576, 24, 26]","[576, 1, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[576],0.0012958049774169922
"[2, 256, 68, 50]","[1, 256, 3, 3]",[1],"[1, 1]","[1, 1]","[1, 1]",[1],0.0016486644744873047
"[1, 256, 200, 272]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.0010869503021240234
"[1, 128, 336, 192]","[128, 128, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.003664255142211914
"[1, 96, 28, 52]","[255, 96, 1, 1]",[255],"[1, 1]","[0, 0]","[1, 1]",[1],0.0017435550689697266
"[1, 256, 100, 148]","[256, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.012946605682373047
"[1, 96, 24, 26]","[576, 96, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0041046142578125
"[2, 256, 272, 200]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.0037453174591064453
"[1, 256, 50, 76]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.008182048797607422
"[1, 128, 88, 91]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.007261037826538086
"[4, 20, 1, 1]","[480, 20, 1, 1]",[480],"[1, 1]","[0, 0]","[1, 1]",[1],0.0021016597747802734
"[1, 256, 76, 50]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.010744094848632812
"[2, 1024, 50, 70]","[256, 1024, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.006463050842285156
"[1, 64, 200, 320]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.00325775146484375
"[4, 512, 28, 28]","[512, 512, 3, 3]",[512],"[1, 1]","[1, 1]","[1, 1]",[1],0.03935599327087402
"[1, 256, 16, 16]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.01577305793762207
"[1, 256, 192, 240]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.005491733551025391
"[1, 256, 100, 152]","[256, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.011594295501708984
"[1, 256, 17, 13]","[720, 256, 3, 3]",[720],"[1, 1]","[1, 1]","[1, 1]",[1],0.02808976173400879
"[2, 512, 25, 35]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.04030919075012207
"[4, 32, 112, 112]","[32, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[32],0.004709005355834961
"[1, 2048, 25, 40]","[256, 2048, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.014139890670776367
"[1, 512, 48, 60]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.03757929801940918
"[1, 256, 50, 56]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.010604143142700195
"[4, 8, 1, 1]","[32, 8, 1, 1]",[32],"[1, 1]","[0, 0]","[1, 1]",[1],0.0012538433074951172
"[1, 256, 41, 40]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.010392189025878906
"[1, 256, 88, 91]","[256, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.013571977615356445
"[4, 992, 14, 14]","[128, 992, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005655527114868164
"[4, 64, 56, 56]","[256, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0015041828155517578
"[1, 256, 42, 49]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005288839340209961
"[2, 256, 50, 68]","[1024, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.005348920822143555
"[2, 256, 100, 140]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.01020503044128418
"[1, 1024, 50, 74]","[512, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.009961843490600586
"[4, 672, 7, 7]","[128, 672, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.003386974334716797
"[2, 256, 200, 336]","[512, 256, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.005506038665771484
"[1, 2048, 25, 38]","[256, 2048, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.011212587356567383
"[1, 1024, 51, 48]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.03264665603637695
"[2, 256, 7, 10]","[80, 256, 3, 3]",[80],"[1, 1]","[1, 1]","[1, 1]",[1],0.00949859619140625
"[2, 256, 10, 7]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.013410568237304688
"[4, 256, 160, 160]","[64, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.00591278076171875
"[1, 24, 64, 96]","[144, 24, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001676797866821289
"[4, 672, 18, 18]","[672, 1, 5, 5]",[False],"[1, 1]","[0, 0]","[1, 1]",[672],0.004744291305541992
"[1, 256, 200, 272]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.011128425598144531
"[1, 128, 101, 96]","[512, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0028984546661376953
"[1, 64, 336, 192]","[64, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0009629726409912109
"[4, 576, 14, 14]","[576, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[576],0.0011355876922607422
"[32, 128, 16, 12]","[64, 128, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0010478496551513672
"[2, 1024, 68, 50]","[256, 1024, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0064487457275390625
"[1, 256, 48, 84]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.010251283645629883
"[1, 512, 50, 80]","[512, 512, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.03706789016723633
"[1, 128, 96, 120]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.007093191146850586
"[1, 1024, 52, 50]","[256, 1024, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.006769657135009766
"[1, 256, 100, 160]","[256, 256, 3, 3]",[False],"[2, 2]","[1, 1]","[1, 1]",[1],0.010718822479248047
"[1, 256, 17, 13]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.0027091503143310547
"[1, 144, 28, 52]","[32, 144, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.001638174057006836
"[1, 576, 14, 26]","[576, 1, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[576],0.0016646385192871094
"[1, 576, 14, 26]","[96, 576, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0030515193939208984
"[2, 256, 100, 156]","[256, 256, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.010586738586425781
"[1, 256, 13, 19]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.0030944347381591797
"[2, 256, 50, 68]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.010891914367675781
"[1, 3, 832, 800]","[64, 3, 7, 7]",[False],"[2, 2]","[3, 3]","[1, 1]",[1],0.0015082359313964844
"[4, 64, 160, 160]","[64, 64, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.0014629364013671875
"[1, 576, 12, 13]","[160, 576, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0030045509338378906
"[1, 2048, 25, 37]","[256, 2048, 1, 1]",[256],"[1, 1]","[0, 0]","[1, 1]",[1],0.01009821891784668
"[1, 256, 3, 3]","[128, 256, 1, 1]",[128],"[1, 1]","[0, 0]","[1, 1]",[1],0.004111528396606445
"[32, 512, 4, 26]","[512, 512, 3, 3]",[512],"[1, 1]","[1, 1]","[1, 1]",[1],0.04423332214355469
"[2, 1024, 76, 50]","[512, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.020596027374267578
"[1, 256, 25, 40]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.0019783973693847656
"[1, 256, 25, 34]","[720, 256, 3, 3]",[720],"[1, 1]","[1, 1]","[1, 1]",[1],0.028791189193725586
"[2, 128, 152, 100]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.006630897521972656
"[1, 512, 88, 76]","[256, 512, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004360675811767578
"[1, 256, 200, 224]","[128, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0029027462005615234
"[2, 256, 13, 18]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.002606630325317383
"[1, 256, 138, 120]","[64, 256, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0015664100646972656
"[1, 1024, 50, 56]","[2048, 1024, 1, 1]",[False],"[2, 2]","[0, 0]","[1, 1]",[1],0.03315615653991699
"[1, 256, 13, 19]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.005718708038330078
"[1, 256, 34, 25]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.012077093124389648
"[4, 160, 7, 7]","[960, 160, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.004204988479614258
"[4, 64, 56, 56]","[128, 64, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0016269683837890625
"[2, 2048, 64, 64]","[512, 2048, 3, 3]",[False],"[1, 1]","[12, 12]","[12, 12]",[1],0.14710378646850586
"[1, 256, 208, 200]","[1600, 256, 1, 1]",[1600],"[1, 1]","[0, 0]","[1, 1]",[1],0.014179706573486328
"[2, 256, 84, 50]","[256, 256, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.01314687728881836
"[1, 192, 10, 13]","[96, 192, 1, 1]",[False],"[1, 1]","[0, 0]","[1, 1]",[1],0.0023272037506103516
"[1, 512, 42, 24]","[512, 512, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.03687882423400879
"[4, 32, 1, 1]","[512, 32, 1, 1]",[512],"[1, 1]","[0, 0]","[1, 1]",[1],0.005289554595947266
"[1, 64, 202, 192]","[64, 64, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.002114534378051758
"[1, 256, 50, 76]","[12, 256, 1, 1]",[12],"[1, 1]","[0, 0]","[1, 1]",[1],0.002206563949584961
"[2, 256, 25, 35]","[4, 256, 3, 3]",[4],"[1, 1]","[1, 1]","[1, 1]",[1],0.002309083938598633
"[32, 128, 8, 25]","[256, 128, 3, 3]",[256],"[1, 1]","[1, 1]","[1, 1]",[1],0.008792400360107422
"[1, 256, 100, 148]","[3, 256, 1, 1]",[3],"[1, 1]","[0, 0]","[1, 1]",[1],0.0032339096069335938
"[1, 128, 100, 112]","[128, 128, 3, 3]",[False],"[1, 1]","[1, 1]","[1, 1]",[1],0.00536799430847168
"[4, 1152, 11, 11]","[1152, 1, 5, 5]",[False],"[1, 1]","[0, 0]","[1, 1]",[1152],0.005135297775268555
