{'item_0': [2, 71], 'item_1': [71], 'item_2': [182403, 80], 'time_cost': '2.013603448867798'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         0.85%      28.000us         1.06%      35.000us      35.000us       1.000us         1.52%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.52%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         1.24%      41.000us        86.29%       2.845ms     474.167us       0.000us         0.00%      58.000us       9.667us          32 b           0 b      16.70 Mb           0 b             6  
                                         aten::_to_copy         3.40%     112.000us        85.05%       2.804ms     560.800us       0.000us         0.00%      58.000us      11.600us          32 b           0 b      16.70 Mb           0 b             5  
                                    aten::empty_strided         5.52%     182.000us        16.20%     534.000us     106.800us       0.000us         0.00%       0.000us       0.000us          32 b          32 b      16.70 Mb      16.70 Mb             5  
                                       cudaLaunchKernel        61.36%       2.023ms        61.36%       2.023ms     505.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                aten::sparse_coo_tensor         2.46%      81.000us        16.50%     544.000us     544.000us       0.000us         0.00%      10.000us      10.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.67%      22.000us         0.67%      22.000us       2.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.76%      25.000us         0.76%      25.000us       4.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.09%       3.000us         0.09%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.58%     118.000us         3.58%     118.000us      29.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.09%       3.000us         0.09%       3.000us       1.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.40%      46.000us         1.58%      52.000us      52.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.33%      11.000us        16.59%     547.000us     547.000us       0.000us         0.00%      55.000us      55.000us           0 b           0 b      16.70 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.42%      14.000us        16.26%     536.000us     536.000us       0.000us         0.00%      55.000us      55.000us           0 b           0 b      16.70 Mb           0 b             1  
                                         aten::_indices         0.12%       4.000us         0.12%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.09%       3.000us         0.09%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.06%      35.000us        15.65%     516.000us     516.000us       0.000us         0.00%      55.000us      55.000us           0 b           0 b      16.70 Mb           0 b             1  
                                        aten::dense_dim         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             cudaMalloc        10.68%     352.000us        10.68%     352.000us     352.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -16.70 Mb     -16.70 Mb             3  
                                  cudaDeviceSynchronize         0.15%       5.000us         0.15%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.297ms
Self CUDA time total: 66.000us

{'item_0': [2, 9], 'item_1': [9], 'item_2': [182403, 80], 'time_cost': '0.0030100345611572266'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.26%      36.000us        74.85%       2.146ms     429.200us       4.000us        40.00%       4.000us       0.800us           0 b           0 b           0 b           0 b             5  
                                              aten::min         3.07%      88.000us         4.36%     125.000us     125.000us       3.000us        30.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        30.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.58%      74.000us         3.42%      98.000us      98.000us       3.000us        30.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        30.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        20.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        10.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        10.00%       1.000us       0.500us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.40%      40.000us        84.65%       2.427ms     404.500us       0.000us         0.00%       4.000us       0.667us          32 b           0 b       1.50 Kb           0 b             6  
                                         aten::_to_copy         3.07%      88.000us        83.26%       2.387ms     477.400us       0.000us         0.00%       4.000us       0.800us          32 b           0 b       1.50 Kb           0 b             5  
                                    aten::empty_strided         5.34%     153.000us         5.34%     153.000us      30.600us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       1.50 Kb       1.50 Kb             5  
                                       cudaLaunchKernel        70.46%       2.020ms        70.46%       2.020ms     673.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.72%      78.000us        18.52%     531.000us     531.000us       0.000us         0.00%       8.000us       8.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.87%      25.000us         0.87%      25.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.98%      28.000us         0.98%      28.000us       4.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.17%       5.000us         0.17%       5.000us       1.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.63%     104.000us         3.63%     104.000us      26.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.64%      47.000us         1.88%      54.000us      54.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.24%       7.000us         5.06%     145.000us     145.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.42%      12.000us         4.81%     138.000us     138.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                                         aten::_indices         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.53%      44.000us         4.22%     121.000us     121.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.50 Kb      -1.50 Kb             3  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.867ms
Self CUDA time total: 10.000us

{'item_0': [2, 45], 'item_1': [45], 'item_2': [163206, 80], 'time_cost': '0.003039836883544922'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.30%      37.000us        74.43%       2.122ms     424.400us       5.000us        41.67%       5.000us       1.000us           0 b           0 b           0 b           0 b             5  
                                              aten::min         3.02%      86.000us         4.14%     118.000us     118.000us       4.000us        33.33%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        33.33%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.63%      75.000us         3.44%      98.000us      98.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         8.33%       1.000us       0.500us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.51%      43.000us        84.53%       2.410ms     401.667us       0.000us         0.00%       5.000us       0.833us          32 b           0 b       2.50 Kb           0 b             6  
                                         aten::_to_copy         3.30%      94.000us        83.02%       2.367ms     473.400us       0.000us         0.00%       5.000us       1.000us          32 b           0 b       2.50 Kb           0 b             5  
                                    aten::empty_strided         5.30%     151.000us         5.30%     151.000us      30.200us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       2.50 Kb       2.50 Kb             5  
                                       cudaLaunchKernel        69.91%       1.993ms        69.91%       1.993ms     664.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.60%      74.000us        18.48%     527.000us     527.000us       0.000us         0.00%       9.000us       9.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.77%      22.000us         0.77%      22.000us       2.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.95%      27.000us         0.95%      27.000us       4.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.72%     106.000us         3.72%     106.000us      26.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.14%       4.000us         0.14%       4.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.72%      49.000us         1.93%      55.000us      55.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.42%      12.000us         5.86%     167.000us     167.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      14.000us         5.44%     155.000us     155.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                                         aten::_indices         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.72%      49.000us         4.74%     135.000us     135.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.50 Kb           0 b             1  
                                        aten::dense_dim         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.50 Kb      -2.50 Kb             3  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.851ms
Self CUDA time total: 12.000us

{'item_0': [2, 65], 'item_1': [65], 'item_2': [163206, 80], 'time_cost': '0.003040790557861328'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.23%      35.000us        74.42%       2.118ms     423.600us       6.000us        50.00%       6.000us       1.200us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.95%      84.000us         4.11%     117.000us     117.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.71%      77.000us         3.58%     102.000us     102.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        25.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        16.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.44%      41.000us        84.50%       2.405ms     400.833us       0.000us         0.00%       6.000us       1.000us          32 b           0 b       4.00 Kb           0 b             6  
                                         aten::_to_copy         3.48%      99.000us        83.06%       2.364ms     472.800us       0.000us         0.00%       6.000us       1.200us          32 b           0 b       4.00 Kb           0 b             5  
                                    aten::empty_strided         5.17%     147.000us         5.17%     147.000us      29.400us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       4.00 Kb       4.00 Kb             5  
                                       cudaLaunchKernel        69.50%       1.978ms        69.50%       1.978ms     659.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.53%      72.000us        18.94%     539.000us     539.000us       0.000us         0.00%       8.000us       8.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.81%      23.000us         0.81%      23.000us       2.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         1.05%      30.000us         1.05%      30.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.11%       3.000us         0.11%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         4.11%     117.000us         4.11%     117.000us      29.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.72%      49.000us         1.90%      54.000us      54.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.39%      11.000us         5.87%     167.000us     167.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       2.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.46%      13.000us         5.48%     156.000us     156.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       2.50 Kb           0 b             1  
                                         aten::_indices         0.21%       6.000us         0.21%       6.000us       1.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.11%       3.000us         0.11%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.69%      48.000us         4.74%     135.000us     135.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       2.50 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.00 Kb      -4.00 Kb             3  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.846ms
Self CUDA time total: 12.000us

{'item_0': [3, 3072], 'item_1': [3072], 'item_2': [1, 48, 48], 'time_cost': '0.0038552284240722656'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.05%      39.000us        58.74%       2.180ms     436.000us       8.000us        33.33%       8.000us       1.600us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.26%      84.000us         3.15%     117.000us     117.000us       8.000us        33.33%       8.000us       8.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us        33.33%       8.000us       8.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.05%      76.000us         2.67%      99.000us      99.000us       8.000us        33.33%       8.000us       8.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us        33.33%       8.000us       8.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        16.67%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         8.33%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         8.33%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.10%      41.000us        88.09%       3.269ms     544.833us       0.000us         0.00%       8.000us       1.333us          48 b           0 b     168.00 Kb           0 b             6  
                                         aten::_to_copy         2.53%      94.000us        86.98%       3.228ms     645.600us       0.000us         0.00%       8.000us       1.600us          48 b           0 b     168.00 Kb           0 b             5  
                                    aten::empty_strided         4.34%     161.000us        25.71%     954.000us     190.800us       0.000us         0.00%       0.000us       0.000us          48 b          48 b     168.00 Kb     168.00 Kb             5  
                                       cudaLaunchKernel        54.57%       2.025ms        54.57%       2.025ms     675.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.02%      75.000us        14.36%     533.000us     533.000us       0.000us         0.00%      18.000us      18.000us           0 b         -48 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.65%      24.000us         0.65%      24.000us       2.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.70%      26.000us         0.70%      26.000us       4.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.11%       4.000us         0.11%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.48%     129.000us         3.48%     129.000us      32.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.11%       4.000us         0.11%       4.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.29%      48.000us         1.46%      54.000us      54.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.32%      12.000us        26.54%     985.000us     985.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      96.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.38%      14.000us        26.22%     973.000us     973.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      96.00 Kb           0 b             1  
                                         aten::_indices         0.11%       4.000us         0.11%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.05%       2.000us         0.05%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.37%      51.000us        25.68%     953.000us     953.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      96.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             cudaMalloc        21.37%     793.000us        21.37%     793.000us     793.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -168.00 Kb    -168.00 Kb             3  
                                  cudaDeviceSynchronize         0.13%       5.000us         0.13%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.711ms
Self CUDA time total: 24.000us

{'item_0': [2, 12], 'item_1': [12], 'item_2': [182403, 80], 'time_cost': '0.003070831298828125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.21%      35.000us        74.25%       2.139ms     427.800us       4.000us        40.00%       4.000us       0.800us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.88%      83.000us         4.03%     116.000us     116.000us       3.000us        30.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
