{'item_0': 0, 'item_1': 2, 'item_2': 32, 'item_3': 8, 'time_cost': '0.007038116455078125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::transpose         0.63%      27.000us         0.80%      34.000us      34.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::set_         0.73%      31.000us         0.73%      31.000us      31.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                           aten::select         1.47%      63.000us         1.76%      75.000us      25.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3            --  
                                          aten::reshape         1.40%      60.000us         1.66%      71.000us      23.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3            --  
                                   aten::_reshape_alias         0.26%      11.000us         0.26%      11.000us       3.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3            --  
                                            aten::zero_         0.51%      22.000us         1.43%      61.000us      61.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaDeviceSynchronize         0.16%       7.000us         0.16%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.273ms
Self CUDA time total: 68.000us

