{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0463435649871826'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.42%      12.000us         0.42%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.09%      31.000us         5.72%     163.000us      54.333us       0.000us         0.00%       4.000us       1.333us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         4.46%     127.000us         4.46%     127.000us      31.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.25%       7.000us         0.25%       7.000us       2.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                              aten::all         0.98%      28.000us         2.95%      84.000us      84.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                          aten::resize_         0.25%       7.000us         0.25%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.48 Mb       1.48 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.21%       6.000us         1.86%      53.000us      53.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b       1.73 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.28%       8.000us         1.65%      47.000us      47.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b       1.73 Mb           0 b             1  
                                aten::new_empty_strided         0.14%       4.000us         0.60%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.73 Mb           0 b             1  
                                    aten::empty_strided         0.46%      13.000us         0.46%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.73 Mb       1.73 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -3.20 Mb      -3.20 Mb             2  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.849ms
Self CUDA time total: 22.000us

{'item_0': [68, 244], 'item_1': 244, 'item_2': 1, 'time_cost': '0.0030274391174316406'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.88%      26.000us         2.21%      65.000us      21.667us      92.000us        55.09%      92.000us      30.667us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      88.000us        52.69%      88.000us      88.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         1.02%      30.000us         1.59%      47.000us      47.000us      63.000us        37.72%      63.000us      63.000us           0 b           0 b      30.89 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      63.000us        37.72%      63.000us      63.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         2.40%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.92%      27.000us         1.15%      34.000us      34.000us       3.000us         1.80%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         1.80%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.13%     210.000us       115.24%       3.396ms       1.698ms       2.000us         1.20%      94.000us      47.000us           0 b           0 b      31.34 Mb    -471.00 Kb             2  
                                           aten::cumsum         1.90%      56.000us         4.45%     131.000us     131.000us       2.000us         1.20%       4.000us       4.000us           0 b           0 b       2.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.27%       8.000us         3.83%     113.000us      56.500us       2.000us         1.20%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.20%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.78%      23.000us         1.05%      31.000us      31.000us       2.000us         1.20%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.20%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         1.20%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.48%      14.000us        67.63%       1.993ms       1.993ms       1.000us         0.60%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.60%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.60%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.60%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         5.19%     153.000us         5.19%     153.000us      30.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     470.00 Kb     470.00 Kb             5  
                                       cudaLaunchKernel        69.09%       2.036ms        69.09%       2.036ms     226.222us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.44%      13.000us         0.58%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.48%      14.000us         0.51%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.03%       1.000us         0.03%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.75%      22.000us         4.89%     144.000us      72.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::clone         1.49%      44.000us         4.14%     122.000us      61.000us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                       aten::empty_like         0.95%      28.000us         1.46%      43.000us      21.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.41%      12.000us         0.41%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.68%      20.000us         4.51%     133.000us      66.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         4.11%     121.000us         4.11%     121.000us      40.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.24%       7.000us         0.24%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      30.89 Mb      30.89 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.37%      11.000us         2.44%      72.000us      72.000us       0.000us         0.00%      88.000us      88.000us           0 b           0 b      30.89 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      13.000us         2.07%      61.000us      61.000us       0.000us         0.00%      88.000us      88.000us           0 b           0 b      30.89 Mb           0 b             1  
                                aten::new_empty_strided         0.10%       3.000us         0.61%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      30.89 Mb           0 b             1  
                                    aten::empty_strided         0.51%      15.000us         0.51%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      30.89 Mb      30.89 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -61.77 Mb     -61.77 Mb             2  
                                  cudaDeviceSynchronize         1.02%      30.000us         1.02%      30.000us      30.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.947ms
Self CUDA time total: 167.000us

{'item_0': [1, 1, 2, 48, 56], 'item_1': 9, 'item_2': 1, 'time_cost': '0.002863645553588867'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.48%      41.000us         2.06%      57.000us      57.000us       5.000us        27.78%       5.000us       5.000us           0 b           0 b     378.00 Kb           0 b             1  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        27.78%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.84%      51.000us         2.42%      67.000us      67.000us       3.000us        16.67%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
                              aten::_local_scalar_dense         0.40%      11.000us         4.38%     121.000us      40.333us       3.000us        16.67%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        16.67%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                            aten::copy_         0.22%       6.000us         0.72%      20.000us      20.000us       3.000us        16.67%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        16.67%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.76%      21.000us        71.90%       1.988ms     994.000us       2.000us        11.11%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.11%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.12%     197.000us       113.13%       3.128ms       1.564ms       1.000us         5.56%      24.000us      12.000us           0 b           0 b     378.50 Kb      -2.50 Kb             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::ge         1.12%      31.000us         1.41%      39.000us      39.000us       1.000us         5.56%       1.000us       1.000us           0 b           0 b         512 b         512 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         5.56%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.88%     135.000us         4.88%     135.000us      45.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             3  
                                       cudaLaunchKernel        72.48%       2.004ms        72.48%       2.004ms     286.286us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                          aten::reshape         0.43%      12.000us         0.58%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.51%      14.000us         0.54%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.43%      12.000us         0.47%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.08%      30.000us         5.46%     151.000us      50.333us       0.000us         0.00%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         4.23%     117.000us         4.23%     117.000us      29.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.25%       7.000us         0.25%       7.000us       2.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                              aten::all         1.01%      28.000us         2.64%      73.000us      73.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                          aten::resize_         0.22%       6.000us         0.22%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     378.00 Kb     378.00 Kb             1  
autograd::engine::evaluate_function: torch::autograd...         0.25%       7.000us         1.81%      50.000us      50.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b     378.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.25%       7.000us         1.56%      43.000us      43.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b     378.00 Kb           0 b             1  
                                aten::new_empty_strided         0.14%       4.000us         0.58%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     378.00 Kb           0 b             1  
                                    aten::empty_strided         0.43%      12.000us         0.43%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     378.00 Kb     378.00 Kb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -756.00 Kb    -756.00 Kb             2  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.765ms
Self CUDA time total: 18.000us

{'item_0': [1, 1, 2, 24, 28], 'item_1': 9, 'item_2': 1, 'time_cost': '0.002798795700073242'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.07%      29.000us         1.66%      45.000us      45.000us       5.000us        31.25%       5.000us       5.000us           0 b           0 b      94.50 Kb           0 b             1  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        31.25%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.74%      47.000us         2.29%      62.000us      62.000us       3.000us        18.75%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
                              aten::_local_scalar_dense         0.41%      11.000us         4.21%     114.000us      38.000us       3.000us        18.75%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        18.75%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                            aten::fill_         0.70%      19.000us        73.63%       1.994ms     997.000us       2.000us        12.50%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        12.50%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         6.72%     182.000us       112.59%       3.049ms       1.524ms       1.000us         6.25%      24.000us      12.000us           0 b           0 b      95.00 Kb      -2.50 Kb             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::ge         0.92%      25.000us         1.18%      32.000us      32.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b         512 b         512 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.22%       6.000us         0.63%      17.000us      17.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.84%     131.000us         4.84%     131.000us      43.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             3  
                                       cudaLaunchKernel        74.19%       2.009ms        74.19%       2.009ms     287.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                          aten::reshape         0.41%      11.000us         0.59%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.48%      13.000us         0.52%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.41%      11.000us         0.44%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.07%      29.000us         5.28%     143.000us      47.667us       0.000us         0.00%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         4.03%     109.000us         4.03%     109.000us      27.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       1.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                              aten::all         0.96%      26.000us         2.51%      68.000us      68.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                          aten::resize_         0.22%       6.000us         0.22%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      94.50 Kb      94.50 Kb             1  
autograd::engine::evaluate_function: torch::autograd...         0.22%       6.000us         1.59%      43.000us      43.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      94.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.26%       7.000us         1.37%      37.000us      37.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      94.50 Kb           0 b             1  
                                aten::new_empty_strided         0.15%       4.000us         0.48%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      94.50 Kb           0 b             1  
                                    aten::empty_strided         0.33%       9.000us         0.33%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      94.50 Kb      94.50 Kb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -189.00 Kb    -189.00 Kb             2  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.708ms
Self CUDA time total: 16.000us

{'item_0': [48, 192], 'item_1': 192, 'item_2': 1, 'time_cost': '0.003011941909790039'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.69%      20.000us         1.71%      50.000us      16.667us      43.000us        53.09%      43.000us      14.333us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      39.000us        48.15%      39.000us      39.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         1.06%      31.000us         1.64%      48.000us      48.000us      26.000us        32.10%      26.000us      26.000us           0 b           0 b      13.50 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us        32.10%      26.000us      26.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         4.94%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         1.47%      43.000us         1.75%      51.000us      51.000us       3.000us         3.70%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         3.70%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.40%     216.000us       118.26%       3.452ms       1.726ms       2.000us         2.47%      57.000us      28.500us           0 b           0 b      13.78 Mb    -292.50 Kb             2  
                                           aten::cumsum         1.85%      54.000us         4.42%     129.000us     129.000us       2.000us         2.47%       4.000us       4.000us           0 b           0 b       1.50 Kb           0 b             1  
                              aten::_local_scalar_dense         0.31%       9.000us         3.70%     108.000us      54.000us       2.000us         2.47%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.47%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.72%      21.000us         0.99%      29.000us      29.000us       2.000us         2.47%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.47%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         2.47%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.48%      14.000us        68.52%       2.000ms       2.000ms       1.000us         1.23%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.23%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.23%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.23%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
