{'item_0': 2, 'time_cost': '0.034060001373291016'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 cudaDeviceGetAttribute         0.07%       1.000us         0.07%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.07%       1.000us         0.07%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -158.00 Kb    -158.00 Kb             1  
                                  cudaDeviceSynchronize         0.37%       5.000us         0.37%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.367ms
Self CUDA time total: 106.000us

{'item_0': 117266, 'time_cost': '0.0028810501098632812'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::randperm         2.80%      80.000us       190.59%       5.447ms       2.724ms     137.000us        89.54%     306.000us     153.000us           0 b           0 b     916.50 Kb      -2.69 Mb             2  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us      94.000us        61.44%      94.000us      18.800us           0 b           0 b           0 b           0 b             5  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us        16.99%      26.000us       3.714us           0 b           0 b           0 b           0 b             7  
                                          aten::random_         0.66%      19.000us         1.12%      32.000us      32.000us       8.000us         5.23%       8.000us       8.000us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         5.23%       8.000us       8.000us           0 b           0 b           0 b           0 b             1  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         5.23%       8.000us       8.000us           0 b           0 b           0 b           0 b             1  
                                           aten::arange         0.35%      10.000us         1.40%      40.000us      20.000us       5.000us         3.27%      10.000us       5.000us           0 b           0 b       1.79 Mb           0 b             2  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         3.27%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void (anonymous namespace)::randperm_handle_duplicat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         3.27%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at_cuda_detail::cub::DeviceRadixSortExclusiveSu...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         2.61%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.35%      10.000us        11.65%     333.000us     333.000us       3.000us         1.96%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         1.96%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         8.57%     245.000us        80.16%       2.291ms     572.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.79 Mb       1.79 Mb             4  
                                    aten::scalar_tensor         0.24%       7.000us        12.00%     343.000us     343.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b         512 b           0 b             1  
                                       cudaLaunchKernel        13.09%     374.000us        13.09%     374.000us      34.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            11  
                                          aten::resize_         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     916.50 Kb     916.50 Kb             2  
                                  cudaStreamIsCapturing         0.03%       1.000us         0.03%       1.000us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                             cudaMalloc        71.59%       2.046ms        71.59%       2.046ms       2.046ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         0.14%       4.000us         0.31%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     916.50 Kb           0 b             1  
                                    aten::empty_strided         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     916.50 Kb     916.50 Kb             1  
                                        cudaMemsetAsync         0.98%      28.000us         0.98%      28.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -916.50 Kb    -916.50 Kb             1  
                                  cudaDeviceSynchronize         0.80%      23.000us         0.80%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.858ms
Self CUDA time total: 153.000us

{'item_0': 5, 'time_cost': '0.0013685226440429688'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::randperm         4.08%      53.000us       136.00%       1.768ms     884.000us      13.000us        56.52%      46.000us      23.000us           0 b           0 b         512 b      -2.00 Kb             2  
void at_cuda_detail::cub::DeviceRadixSortSingleTileK...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us        39.13%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
                                          aten::random_         1.00%      13.000us         1.38%      18.000us      18.000us       4.000us        17.39%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        17.39%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void (anonymous namespace)::randperm_handle_duplicat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        17.39%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.85%      11.000us        28.31%     368.000us     368.000us       3.000us        13.04%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        13.04%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                           aten::arange         0.92%      12.000us         3.15%      41.000us      20.500us       3.000us        13.04%       6.000us       3.000us           0 b           0 b       1.00 Kb           0 b             2  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        13.04%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty        62.69%     815.000us        62.69%     815.000us     203.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.50 Kb       1.50 Kb             4  
                                    aten::scalar_tensor         0.38%       5.000us        29.00%     377.000us     377.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b         512 b           0 b             1  
                                       cudaLaunchKernel        28.85%     375.000us        28.85%     375.000us      75.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                                          aten::resize_         0.31%       4.000us         0.31%       4.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             2  
                                  cudaStreamIsCapturing         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::empty_like         0.23%       3.000us         0.54%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.31%       4.000us         0.31%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.38%       5.000us         0.38%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.300ms
Self CUDA time total: 23.000us

{'item_0': 10582, 'time_cost': '0.0014119148254394531'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::randperm         4.91%      66.000us       138.27%       1.857ms     928.500us      86.000us        87.76%     196.000us      98.000us           0 b           0 b      83.00 Kb    -166.50 Kb             2  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us      59.000us        60.20%      59.000us      14.750us           0 b           0 b           0 b           0 b             4  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us        12.24%      12.000us       2.000us           0 b           0 b           0 b           0 b             6  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         7.14%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                          aten::random_         0.97%      13.000us         1.34%      18.000us      18.000us       5.000us         5.10%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         5.10%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                           aten::arange         0.82%      11.000us         2.98%      40.000us      20.000us       4.000us         4.08%       8.000us       4.000us           0 b           0 b     166.00 Kb           0 b             2  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         4.08%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at_cuda_detail::cub::DeviceRadixSortExclusiveSu...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         4.08%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void (anonymous namespace)::randperm_handle_duplicat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         4.08%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.74%      10.000us        26.88%     361.000us     361.000us       3.000us         3.06%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         3.06%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty        60.46%     812.000us        60.46%     812.000us     203.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     125.00 Kb     125.00 Kb             4  
                                    aten::scalar_tensor         0.45%       6.000us        27.62%     371.000us     371.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b         512 b           0 b             1  
                                       cudaLaunchKernel        28.74%     386.000us        28.74%     386.000us      38.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.37%       5.000us         0.37%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      83.00 Kb      83.00 Kb             2  
                                  cudaStreamIsCapturing         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::empty_like         0.22%       3.000us         0.60%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      41.50 Kb           0 b             1  
                                    aten::empty_strided         0.37%       5.000us         0.37%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      41.50 Kb      41.50 Kb             1  
                                        cudaMemsetAsync         1.41%      19.000us         1.41%      19.000us       3.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                 cudaDeviceGetAttribute         0.07%       1.000us         0.07%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.07%       1.000us         0.07%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -83.00 Kb     -83.00 Kb             1  
                                  cudaDeviceSynchronize         0.37%       5.000us         0.37%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.343ms
Self CUDA time total: 98.000us

