{'item_0': 3000, 'time_cost': '0.034516334533691406'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         3.57%     783.000us         4.19%     920.000us      76.667us      30.000us         6.67%      30.000us       2.500us           0 b           0 b      96.00 Kb      96.00 Kb            12         8.016  
                                               aten::lt         3.27%     717.000us         3.72%     817.000us     102.125us      29.000us         6.44%      29.000us       3.625us           0 b           0 b      20.00 Kb      20.00 Kb             8            --  
                                              aten::add         3.30%     724.000us         3.88%     851.000us      85.100us      28.000us         6.22%      28.000us       2.800us           0 b           0 b      50.00 Kb      50.00 Kb            10         6.016  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      25.000us         5.56%      25.000us       3.125us           0 b           0 b           0 b           0 b             8            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         4.67%      21.000us       2.100us           0 b           0 b           0 b           0 b            10            --  
                                             aten::_cat         1.90%     416.000us         3.00%     659.000us     131.800us      21.000us         4.67%      21.000us       4.200us           0 b           0 b     235.00 Kb           0 b             5            --  
                                              aten::div         1.95%     428.000us         2.32%     509.000us      84.833us      20.000us         4.44%      20.000us       3.333us           0 b           0 b      72.00 Kb      72.00 Kb             6            --  
                                              aten::abs         4.17%     915.000us         9.10%       1.996ms     124.750us      19.000us         4.22%      38.000us       2.375us           0 b           0 b     256.00 Kb           0 b            16            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         4.22%      19.000us       2.375us           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.000us         3.78%      17.000us       4.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         3.56%      16.000us       4.000us           0 b           0 b           0 b           0 b             4            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.000us         3.56%      16.000us       4.000us           0 b           0 b           0 b           0 b             4            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us         2.89%      13.000us       3.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         2.67%      12.000us       3.000us           0 b           0 b           0 b           0 b             4            --  
                                            aten::fill_         0.65%     143.000us         0.96%     211.000us      42.200us      12.000us         2.67%      12.000us       2.400us           0 b           0 b           0 b           0 b             5            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         2.67%      12.000us       3.000us           0 b           0 b           0 b           0 b             4            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         2.00%       9.000us       1.000us           0 b           0 b           0 b           0 b             9            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         2.00%       9.000us       2.250us           0 b           0 b           0 b           0 b             4            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         1.78%       8.000us       2.000us           0 b           0 b           0 b           0 b             4            --  
                                               aten::eq         0.84%     184.000us         0.95%     209.000us     104.500us       6.000us         1.33%       6.000us       3.000us           0 b           0 b      32.00 Kb      32.00 Kb             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         1.33%       6.000us       3.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         1.11%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         1.11%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
                                         aten::scatter_         0.46%     101.000us         0.55%     120.000us     120.000us       5.000us         1.11%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         1.11%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.67%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::bitwise_and         0.41%      89.000us         0.46%     100.000us     100.000us       3.000us         0.67%       3.000us       3.000us           0 b           0 b      16.00 Kb      16.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.67%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                      aten::bitwise_not         0.33%      73.000us         0.39%      85.000us      85.000us       3.000us         0.67%       3.000us       3.000us           0 b           0 b      16.00 Kb      16.00 Kb             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.67%       3.000us       3.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::to         2.56%     561.000us        23.24%       5.099ms     164.484us       0.000us         0.00%      55.000us       1.774us       3.97 Kb           0 b     221.00 Kb           0 b            31            --  
                                            aten::slice         8.70%       1.910ms        10.09%       2.213ms      50.295us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44            --  
                                       aten::as_strided         3.45%     756.000us         3.45%     756.000us       6.146us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           123            --  
                                           aten::select         6.21%       1.363ms         7.10%       1.559ms      43.306us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36            --  
                                       cudaLaunchKernel         5.73%       1.257ms         5.73%       1.257ms      11.858us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           106            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us      -7.94 Kb      -7.94 Kb      -1.26 Mb      -1.26 Mb           135            --  
                                            aten::stack         0.93%     203.000us         3.25%     714.000us     357.000us       0.000us         0.00%       9.000us       4.500us           0 b           0 b      47.50 Kb           0 b             2            --  
                                        aten::unsqueeze         4.51%     990.000us         5.25%       1.152ms      39.724us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            29            --  
                                              aten::cat         0.76%     166.000us         3.76%     825.000us     165.000us       0.000us         0.00%      21.000us       4.200us           0 b           0 b     235.00 Kb           0 b             5            --  
                                            aten::empty         2.96%     650.000us         2.96%     650.000us      20.968us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     253.00 Kb     253.00 Kb            31            --  
                                          aten::resize_         1.39%     306.000us         1.39%     306.000us      17.000us       0.000us         0.00%       0.000us       0.000us       7.94 Kb       7.94 Kb     363.00 Kb     363.00 Kb            18            --  
                                           aten::arange         2.17%     476.000us         4.02%     882.000us      88.200us       0.000us         0.00%       0.000us       0.000us      15.88 Kb           0 b           0 b           0 b            10            --  
                                         aten::_to_copy         6.48%       1.421ms        20.68%       4.538ms     181.520us       0.000us         0.00%      55.000us       2.200us       3.97 Kb           0 b     221.00 Kb           0 b            25            --  
                                    aten::empty_strided         2.98%     653.000us         2.98%     653.000us      26.120us       0.000us         0.00%       0.000us       0.000us       3.97 Kb       3.97 Kb     221.00 Kb     221.00 Kb            25            --  
                                        aten::expand_as         0.47%     103.000us         1.19%     262.000us      52.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                           aten::expand         0.59%     129.000us         0.72%     159.000us      31.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                        cudaMemcpyAsync         0.54%     119.000us         0.54%     119.000us      13.222us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9            --  
                                  cudaStreamSynchronize         0.33%      72.000us         0.33%      72.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9            --  
                                        aten::new_zeros         0.78%     172.000us         3.08%     675.000us     168.750us       0.000us         0.00%       9.000us       2.250us           0 b           0 b      64.00 Kb           0 b             4            --  
                                        aten::new_empty         0.47%     103.000us         0.98%     215.000us      53.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      64.00 Kb           0 b             4            --  
                                            aten::zero_         0.69%     151.000us         1.65%     362.000us      72.400us       0.000us         0.00%      12.000us       2.400us           0 b           0 b           0 b           0 b             5            --  
                                       aten::index_put_         1.42%     312.000us        19.42%       4.262ms     532.750us       0.000us         0.00%      85.000us      10.625us           0 b           0 b           0 b           0 b             8            --  
                                          aten::reshape         1.70%     372.000us         2.02%     444.000us      27.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                   aten::_reshape_alias         0.33%      72.000us         0.33%      72.000us       4.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                       aten::contiguous         0.62%     135.000us         6.26%       1.374ms     171.750us       0.000us         0.00%      25.000us       3.125us           0 b           0 b      64.00 Kb           0 b             8            --  
                                            aten::clone         1.67%     366.000us         5.65%       1.239ms     154.875us       0.000us         0.00%      25.000us       3.125us           0 b           0 b      64.00 Kb           0 b             8            --  
                                       aten::empty_like         1.02%     223.000us         2.10%     460.000us      57.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      64.00 Kb           0 b             8            --  
                                             aten::view         0.22%      49.000us         0.22%      49.000us      24.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          aten::one_hot         0.35%      77.000us         1.80%     396.000us     396.000us       0.000us         0.00%       8.000us       8.000us           0 b           0 b     125.00 Kb           0 b             1            --  
                                            aten::zeros         0.20%      43.000us         0.67%     148.000us     148.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b     125.00 Kb           0 b             1            --  
                                          aten::__and__         0.10%      21.000us         0.55%     121.000us     121.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b      16.00 Kb           0 b             1            --  
                                  cudaDeviceSynchronize         0.03%       7.000us         0.03%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.943ms
Self CUDA time total: 450.000us

