{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         2.14%     187.000us        55.23%       4.827ms       2.413ms     169.000us         1.89%       4.222ms       2.111ms      22.27 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         1.60%     140.000us        26.66%       2.330ms       2.330ms     148.000us         1.66%       2.321ms       2.321ms           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         1.82%     159.000us        57.05%       4.986ms       2.493ms     147.000us         1.65%       4.369ms       2.184ms      22.27 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         1.36%     119.000us        28.02%       2.449ms       2.449ms     114.000us         1.28%       2.435ms       2.435ms     -14.84 Mb     -14.84 Mb           0 b           0 b             1  
                                    aten::empty_strided         2.05%     179.000us         2.05%     179.000us      59.667us      68.000us         0.76%      68.000us      22.667us      22.27 Mb      22.27 Mb      29.69 Mb      29.69 Mb             3  
                             UpsampleNearest2DBackward1         0.39%      34.000us         2.93%     256.000us     256.000us       3.000us         0.03%     401.000us     401.000us           0 b           0 b       7.42 Mb           0 b             1  
                                        aten::ones_like         1.57%     137.000us         4.05%     354.000us     354.000us       2.000us         0.02%     455.000us     455.000us           0 b           0 b      29.69 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.34%      30.000us         0.50%      44.000us      44.000us       2.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         1.10%      96.000us         1.67%     146.000us     146.000us       1.000us         0.01%       2.000us       2.000us           0 b           0 b      29.69 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.55%      48.000us         3.48%     304.000us     304.000us       1.000us         0.01%     402.000us     402.000us           0 b           0 b       7.42 Mb           0 b             1  
                                         CloneBackward0         0.16%      14.000us         0.16%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -59.69 Mb     -59.69 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.740ms
Self CUDA time total: 8.933ms

{'item_0': [4.0, 256.0, 20.0, 20.0], 'item_1': [40.0, 40.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.005466938018798828'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        29.09%       1.324ms        29.09%       1.324ms     662.000us       1.283ms        28.21%       1.283ms     641.500us           0 b           0 b           0 b           0 b             2  
                                             aten::add_        20.00%     910.000us        20.00%     910.000us     910.000us     893.000us        19.64%     893.000us     893.000us           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         6.26%     285.000us         6.26%     285.000us     285.000us     479.000us        10.53%     479.000us     479.000us           0 b           0 b       6.72 Mb       6.72 Mb             1  
                                         aten::_to_copy         8.61%     392.000us        40.36%       1.837ms     918.500us     431.000us         9.48%       1.812ms     906.000us       4.69 Mb           0 b           0 b           0 b             2  
                                               aten::to         5.08%     231.000us        45.44%       2.068ms       1.034ms     232.000us         5.10%       2.044ms       1.022ms       4.69 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         4.33%     197.000us        54.63%       2.486ms       1.243ms     205.000us         4.51%       2.451ms       1.226ms       3.12 Mb      -1.56 Mb      -1.62 Mb      -1.62 Mb             2  
                                        ToCopyBackward0         4.86%     221.000us        50.30%       2.289ms       1.145ms     202.000us         4.44%       2.246ms       1.123ms       4.69 Mb           0 b           0 b           0 b             2  
                      aten::upsample_nearest2d_backward         3.03%     138.000us         3.03%     138.000us     138.000us     169.000us         3.72%     169.000us     169.000us           0 b           0 b       1.62 Mb       1.62 Mb             1  
                        torch::autograd::AccumulateGrad         3.43%     156.000us        23.42%       1.066ms       1.066ms     159.000us         3.50%       1.052ms       1.052ms           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.30%      59.000us         1.30%      59.000us      59.000us     137.000us         3.01%     137.000us     137.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         3.08%     140.000us        26.50%       1.206ms       1.206ms     136.000us         2.99%       1.188ms       1.188ms      -3.12 Mb      -3.12 Mb           0 b           0 b             1  
                                    aten::empty_strided         3.71%     169.000us         3.71%     169.000us      56.333us      99.000us         2.18%      99.000us      33.000us       4.69 Mb       4.69 Mb       6.25 Mb       6.25 Mb             3  
                             UpsampleNearest2DBackward1         1.23%      56.000us         4.26%     194.000us     194.000us      67.000us         1.47%     236.000us     236.000us           0 b           0 b       1.62 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.66%      30.000us         0.94%      43.000us      43.000us      29.000us         0.64%      35.000us      35.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.94%      43.000us         5.21%     237.000us     237.000us      18.000us         0.40%     254.000us     254.000us           0 b           0 b       1.62 Mb           0 b             1  
                                         CloneBackward0         0.29%      13.000us         0.29%      13.000us      13.000us       6.000us         0.13%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         2.50%     114.000us         6.46%     294.000us     294.000us       2.000us         0.04%     141.000us     141.000us           0 b           0 b       6.25 Mb           0 b             1  
                                       aten::empty_like         1.60%      73.000us         2.66%     121.000us     121.000us       1.000us         0.02%       2.000us       2.000us           0 b           0 b       6.25 Mb           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -12.97 Mb     -12.97 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.551ms
Self CUDA time total: 4.548ms

{'item_0': [1.0, 256.0, 50.0, 68.0], 'item_1': [False], 'item_2': [2.0], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.005793094635009766'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        41.05%       2.015ms        41.05%       2.015ms       1.008ms       1.395ms        27.42%       1.395ms     697.500us           0 b           0 b           0 b           0 b             2  
                                             aten::add_        21.10%       1.036ms        21.10%       1.036ms       1.036ms       1.023ms        20.11%       1.023ms       1.023ms           0 b           0 b           0 b           0 b             1  
                     aten::upsample_bilinear2d_backward         2.99%     147.000us         4.42%     217.000us     217.000us     911.000us        17.91%       1.001ms       1.001ms           0 b           0 b       3.32 Mb       3.32 Mb             1  
                              aten::upsample_bilinear2d         5.13%     252.000us         5.13%     252.000us     252.000us     661.000us        12.99%     661.000us     661.000us           0 b           0 b      13.28 Mb      13.28 Mb             1  
                                            aten::fill_         2.08%     102.000us         2.08%     102.000us      51.000us     295.000us         5.80%     295.000us     147.500us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy         4.44%     218.000us        47.46%       2.330ms       1.165ms     197.000us         3.87%       1.637ms     818.500us       9.96 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         3.38%     166.000us        55.47%       2.723ms       1.361ms     145.000us         2.85%       1.962ms     981.000us       6.64 Mb      -3.32 Mb      -3.32 Mb      -3.32 Mb             2  
                        torch::autograd::AccumulateGrad         2.16%     106.000us        23.26%       1.142ms       1.142ms     110.000us         2.16%       1.133ms       1.133ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         2.16%     106.000us        25.42%       1.248ms       1.248ms     104.000us         2.04%       1.237ms       1.237ms      -6.64 Mb      -6.64 Mb           0 b           0 b             1  
                                        ToCopyBackward0         2.55%     125.000us        52.09%       2.557ms       1.278ms      91.000us         1.79%       1.817ms     908.500us       9.96 Mb           0 b           0 b           0 b             2  
                                               aten::to         2.08%     102.000us        49.54%       2.432ms       1.216ms      89.000us         1.75%       1.726ms     863.000us       9.96 Mb           0 b           0 b           0 b             2  
                                    aten::empty_strided         2.04%     100.000us         2.04%     100.000us      50.000us      46.000us         0.90%      46.000us      23.000us       6.64 Mb       6.64 Mb      13.28 Mb      13.28 Mb             2  
                                            aten::zero_         0.57%      28.000us         1.43%      70.000us      70.000us      11.000us         0.22%      90.000us      90.000us           0 b           0 b           0 b           0 b             1  
                            UpsampleBilinear2DBackward1         0.71%      35.000us         5.13%     252.000us     252.000us       3.000us         0.06%       1.004ms       1.004ms           0 b           0 b       3.32 Mb           0 b             1  
                                        aten::ones_like         2.89%     142.000us         6.60%     324.000us     324.000us       2.000us         0.04%     220.000us     220.000us           0 b           0 b      13.28 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.59%      29.000us         1.32%      65.000us      65.000us       2.000us         0.04%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         1.55%      76.000us         2.49%     122.000us     122.000us       1.000us         0.02%       2.000us       2.000us           0 b           0 b      13.28 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         0.92%      45.000us         6.05%     297.000us     297.000us       1.000us         0.02%       1.005ms       1.005ms           0 b           0 b       3.32 Mb           0 b             1  
                                         CloneBackward0         0.73%      36.000us         0.73%      36.000us      36.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.88%      43.000us         0.88%      43.000us      43.000us       0.000us         0.00%       0.000us       0.000us       3.32 Mb       3.32 Mb           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -26.56 Mb     -26.56 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.909ms
Self CUDA time total: 5.087ms

{'item_0': [4.0, 64.0, 40.0, 40.0], 'item_1': [160.0, 160.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0052165985107421875'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        29.52%       1.311ms        29.52%       1.311ms     655.500us     990.000us        21.61%     990.000us     495.000us           0 b           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         7.72%     343.000us         7.72%     343.000us     343.000us     901.000us        19.66%     901.000us     901.000us           0 b           0 b      26.00 Mb      26.00 Mb             1  
                                             aten::add_        16.64%     739.000us        16.64%     739.000us     739.000us     723.000us        15.78%     723.000us     723.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.60%      71.000us         1.60%      71.000us      71.000us     388.000us         8.47%     388.000us     388.000us           0 b           0 b           0 b           0 b             1  
                                         aten::_to_copy         8.76%     389.000us        41.16%       1.828ms     914.000us     331.000us         7.22%       1.385ms     692.500us       4.69 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         7.07%     314.000us        57.64%       2.560ms       1.280ms     284.000us         6.20%       2.060ms       1.030ms       3.12 Mb      -1.56 Mb      -1.62 Mb      -1.62 Mb             2  
                      aten::upsample_nearest2d_backward         2.72%     121.000us         2.72%     121.000us     121.000us     257.000us         5.61%     257.000us     257.000us           0 b           0 b       1.62 Mb       1.62 Mb             1  
                                               aten::to         5.88%     261.000us        47.04%       2.089ms       1.044ms     248.000us         5.41%       1.633ms     816.500us       4.69 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         3.17%     141.000us        19.82%     880.000us     880.000us     144.000us         3.14%     867.000us     867.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         3.54%     157.000us        50.57%       2.246ms       1.123ms     143.000us         3.12%       1.776ms     888.000us       4.69 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         2.27%     101.000us        22.09%     981.000us     981.000us      98.000us         2.14%     965.000us     965.000us      -3.12 Mb      -3.12 Mb           0 b           0 b             1  
                                    aten::empty_strided         2.88%     128.000us         2.88%     128.000us      64.000us      64.000us         1.40%      64.000us      32.000us       4.69 Mb       4.69 Mb           0 b           0 b             2  
                                        aten::ones_like         2.75%     122.000us         7.16%     318.000us     318.000us       3.000us         0.07%     393.000us     393.000us           0 b           0 b      26.00 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.74%      33.000us         3.47%     154.000us     154.000us       3.000us         0.07%     260.000us     260.000us           0 b           0 b       1.62 Mb           0 b             1  
                                       aten::empty_like         1.71%      76.000us         2.81%     125.000us     125.000us       2.000us         0.04%       2.000us       2.000us           0 b           0 b      26.00 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.99%      44.000us         4.46%     198.000us     198.000us       1.000us         0.02%     261.000us     261.000us           0 b           0 b       1.62 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.63%      28.000us         0.92%      41.000us      41.000us       1.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.29%      13.000us         0.29%      13.000us      13.000us       1.000us         0.02%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         1.10%      49.000us         1.10%      49.000us      49.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      26.00 Mb      26.00 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -52.00 Mb     -52.00 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.441ms
Self CUDA time total: 4.582ms

{'item_0': [1.0, 256.0, 100.0, 152.0], 'item_1': [200.0, 304.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.018978357315063477'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        53.67%       9.671ms        53.67%       9.671ms       4.835ms       7.443ms        40.93%       7.443ms       3.721ms           0 b           0 b           0 b           0 b             2  
                                             aten::add_        34.01%       6.128ms        34.01%       6.128ms       6.128ms       6.112ms        33.61%       6.112ms       6.112ms           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         1.37%     247.000us         1.37%     247.000us     247.000us       1.552ms         8.53%       1.552ms       1.552ms           0 b           0 b      59.38 Mb      59.38 Mb             1  
                                            aten::fill_         0.34%      62.000us         0.34%      62.000us      62.000us     945.000us         5.20%     945.000us     945.000us           0 b           0 b           0 b           0 b             1  
                      aten::upsample_nearest2d_backward         0.85%     153.000us         0.85%     153.000us     153.000us     938.000us         5.16%     938.000us     938.000us           0 b           0 b      14.84 Mb      14.84 Mb             1  
                                         aten::_to_copy         1.89%     340.000us        56.45%      10.171ms       5.085ms     310.000us         1.70%       7.859ms       3.929ms      44.53 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         1.25%     225.000us        59.37%      10.698ms       5.349ms     197.000us         1.08%       8.333ms       4.167ms      29.69 Mb     -14.84 Mb     -14.84 Mb     -14.84 Mb             2  
                                        ToCopyBackward0         0.95%     172.000us        58.13%      10.473ms       5.237ms     159.000us         0.87%       8.136ms       4.068ms      44.53 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         0.80%     144.000us        34.81%       6.272ms       6.272ms     151.000us         0.83%       6.263ms       6.263ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.82%     147.000us        35.63%       6.419ms       6.419ms     144.000us         0.79%       6.407ms       6.407ms     -29.69 Mb     -29.69 Mb           0 b           0 b             1  
                                               aten::to         0.72%     130.000us        57.17%      10.301ms       5.151ms     118.000us         0.65%       7.977ms       3.989ms      44.53 Mb           0 b           0 b           0 b             2  
                                    aten::empty_strided         1.14%     205.000us         1.14%     205.000us      68.333us     107.000us         0.59%     107.000us      35.667us      44.53 Mb      44.53 Mb      59.38 Mb      59.38 Mb             3  
                                        aten::ones_like         0.67%     120.000us         1.68%     302.000us     302.000us       3.000us         0.02%     950.000us     950.000us           0 b           0 b      59.38 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.48%      86.000us         1.33%     239.000us     239.000us       3.000us         0.02%     941.000us     941.000us           0 b           0 b      14.84 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.28%      51.000us         0.36%      65.000us      65.000us       2.000us         0.01%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         0.42%      75.000us         0.67%     120.000us     120.000us       1.000us         0.01%       2.000us       2.000us           0 b           0 b      59.38 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.27%      48.000us         1.59%     287.000us     287.000us       1.000us         0.01%     942.000us     942.000us           0 b           0 b      14.84 Mb           0 b             1  
                                         CloneBackward0         0.08%      14.000us         0.08%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -118.75 Mb    -118.75 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 18.018ms
Self CUDA time total: 18.186ms

{'item_0': [1.0, 96.0, 16.0, 24.0], 'item_1': [False], 'item_2': [2.0], 'item_3': ['None'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0027627944946289062'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::upsample_nearest2d        13.53%     277.000us        13.53%     277.000us     277.000us     338.000us        16.93%     338.000us     338.000us           0 b           0 b     576.00 Kb     576.00 Kb             1  
                                            aten::copy_        12.99%     266.000us        12.99%     266.000us     133.000us     248.000us        12.42%     248.000us     124.000us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy        10.25%     210.000us        27.59%     565.000us     282.500us     232.000us        11.62%     550.000us     275.000us     432.00 Kb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         7.13%     146.000us        11.13%     228.000us     228.000us     147.000us         7.36%     220.000us     220.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         5.47%     112.000us         7.76%     159.000us     159.000us     113.000us         5.66%     151.000us     151.000us           0 b           0 b     576.00 Kb           0 b             1  
                                    aten::empty_strided         6.64%     136.000us         6.64%     136.000us      45.333us     108.000us         5.41%     108.000us      36.000us     432.00 Kb     432.00 Kb     576.00 Kb     576.00 Kb             3  
autograd::engine::evaluate_function: ToCopyBackward0...         5.37%     110.000us        41.99%     860.000us     430.000us     101.000us         5.06%     837.000us     418.500us     288.00 Kb    -144.00 Kb    -144.00 Kb    -144.00 Kb             2  
                                        ToCopyBackward0         4.49%      92.000us        36.62%     750.000us     375.000us      95.000us         4.76%     736.000us     368.000us     432.00 Kb           0 b           0 b           0 b             2  
                                               aten::to         4.54%      93.000us        32.13%     658.000us     329.000us      91.000us         4.56%     641.000us     320.500us     432.00 Kb           0 b           0 b           0 b             2  
                                        aten::ones_like         5.86%     120.000us        16.46%     337.000us     337.000us      81.000us         4.06%     284.000us     284.000us           0 b           0 b     576.00 Kb           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         3.96%      81.000us        15.09%     309.000us     309.000us      79.000us         3.96%     299.000us     299.000us    -288.00 Kb    -288.00 Kb           0 b           0 b             1  
                      aten::upsample_nearest2d_backward         5.57%     114.000us         5.57%     114.000us     114.000us      74.000us         3.71%      74.000us      74.000us           0 b           0 b     144.00 Kb     144.00 Kb             1  
                                             aten::add_         4.00%      82.000us         4.00%      82.000us      82.000us      73.000us         3.66%      73.000us      73.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         3.56%      73.000us        10.60%     217.000us     217.000us      63.000us         3.15%     199.000us     199.000us           0 b           0 b     144.00 Kb           0 b             1  
                             UpsampleNearest2DBackward1         1.46%      30.000us         7.03%     144.000us     144.000us      62.000us         3.10%     136.000us     136.000us           0 b           0 b     144.00 Kb           0 b             1  
                                            aten::fill_         2.83%      58.000us         2.83%      58.000us      58.000us      52.000us         2.60%      52.000us      52.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.51%      31.000us         2.34%      48.000us      48.000us      31.000us         1.55%      40.000us      40.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.83%      17.000us         0.83%      17.000us      17.000us       9.000us         0.45%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.12 Mb      -1.12 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.048ms
Self CUDA time total: 1.997ms

{'item_0': [4.0, 64.0, 80.0, 80.0], 'item_1': [160.0, 160.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.010959148406982422'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_        38.08%       3.865ms        38.08%       3.865ms       3.865ms       3.843ms        37.42%       3.843ms       3.843ms           0 b           0 b           0 b           0 b             1  
                                            aten::copy_        37.67%       3.823ms        37.67%       3.823ms       1.911ms       3.275ms        31.89%       3.275ms       1.637ms           0 b           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         2.34%     238.000us         2.34%     238.000us     238.000us     834.000us         8.12%     834.000us     834.000us           0 b           0 b      26.00 Mb      26.00 Mb             1  
                                         aten::_to_copy         4.54%     461.000us        43.94%       4.460ms       2.230ms     427.000us         4.16%       3.824ms       1.912ms      18.75 Mb           0 b           0 b           0 b             2  
                                            aten::fill_         0.48%      49.000us         0.48%      49.000us      49.000us     404.000us         3.93%     404.000us     404.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: ToCopyBackward0...         3.81%     387.000us        51.36%       5.213ms       2.607ms     360.000us         3.51%       4.524ms       2.262ms      12.50 Mb      -6.25 Mb      -6.72 Mb      -6.72 Mb             2  
                      aten::upsample_nearest2d_backward         1.14%     116.000us         1.14%     116.000us     116.000us     325.000us         3.16%     325.000us     325.000us           0 b           0 b       6.72 Mb       6.72 Mb             1  
                                               aten::to         1.94%     197.000us        45.88%       4.657ms       2.329ms     182.000us         1.77%       4.006ms       2.003ms      18.75 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         1.54%     156.000us        39.62%       4.021ms       4.021ms     165.000us         1.61%       4.008ms       4.008ms           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.67%     169.000us        41.28%       4.190ms       4.190ms     163.000us         1.59%       4.171ms       4.171ms     -12.50 Mb     -12.50 Mb           0 b           0 b             1  
                                        ToCopyBackward0         1.67%     169.000us        47.55%       4.826ms       2.413ms     158.000us         1.54%       4.164ms       2.082ms      18.75 Mb           0 b           0 b           0 b             2  
                                    aten::empty_strided         1.73%     176.000us         1.73%     176.000us      88.000us     122.000us         1.19%     122.000us      61.000us      18.75 Mb      18.75 Mb           0 b           0 b             2  
                                        aten::ones_like         1.13%     115.000us         2.79%     283.000us     283.000us       2.000us         0.02%     408.000us     408.000us           0 b           0 b      26.00 Mb           0 b             1  
                                       aten::empty_like         0.75%      76.000us         1.17%     119.000us     119.000us       2.000us         0.02%       2.000us       2.000us           0 b           0 b      26.00 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.37%      38.000us         1.82%     185.000us     185.000us       2.000us         0.02%     329.000us     329.000us           0 b           0 b       6.72 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.31%      31.000us         1.45%     147.000us     147.000us       2.000us         0.02%     327.000us     327.000us           0 b           0 b       6.72 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.28%      28.000us         0.40%      41.000us      41.000us       2.000us         0.02%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.13%      13.000us         0.13%      13.000us      13.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.42%      43.000us         0.42%      43.000us      43.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      26.00 Mb      26.00 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -52.00 Mb     -52.00 Mb             2  
