{'item_0': [128, 256], 'time_cost': '0.0017590522766113281'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -8.00 Kb      -8.00 Kb             1  
                                  cudaDeviceSynchronize         0.96%       5.000us         0.96%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 523.000us
Self CUDA time total: 5.000us

{'item_0': [9, 2], 'time_cost': '0.0006453990936279297'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.48%       8.000us         3.14%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.66%       9.000us        48.61%     263.000us     263.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.70%      20.000us         7.39%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.33%      18.000us         3.70%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.37%       2.000us         0.37%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.73%      31.000us        76.34%     413.000us     413.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         3.14%      17.000us        22.00%     119.000us     119.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        18.85%     102.000us        18.85%     102.000us     102.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                       cudaLaunchKernel        48.61%     263.000us        48.61%     263.000us     131.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.48%       8.000us         4.99%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.55%       3.000us         3.51%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.92%       5.000us         2.96%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.66%       9.000us         2.03%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.37%       2.000us         0.37%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.74%       4.000us         0.92%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.18%       1.000us         0.18%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.29%       7.000us         9.43%      51.000us      51.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         4.99%      27.000us         8.13%      44.000us      44.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.92%       5.000us         0.92%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 541.000us
Self CUDA time total: 5.000us

{'item_0': [128, 1920], 'time_cost': '0.0006380081176757812'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.51%       8.000us         3.20%      17.000us      17.000us       5.000us        55.56%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        55.56%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.88%      10.000us        53.30%     283.000us     283.000us       4.000us        44.44%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        44.44%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.95%      21.000us         7.34%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.01%      16.000us         3.39%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.65%      30.000us        81.36%     432.000us     432.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b     960.00 Kb           0 b             1  
                                       aten::empty_like         3.01%      16.000us        22.41%     119.000us     119.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     960.00 Kb           0 b             1  
                                    aten::empty_strided        19.40%     103.000us        19.40%     103.000us     103.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     960.00 Kb     960.00 Kb             1  
                                       cudaLaunchKernel        53.11%     282.000us        53.11%     282.000us     141.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.13%       6.000us         4.33%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.75%       4.000us         3.20%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.94%       5.000us         2.45%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.32%       7.000us         1.51%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.75%       4.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.13%       6.000us         5.08%      27.000us      27.000us       0.000us         0.00%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.75%       4.000us         3.95%      21.000us      21.000us       0.000us         0.00%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -960.00 Kb    -960.00 Kb             1  
                                  cudaDeviceSynchronize         0.94%       5.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 531.000us
Self CUDA time total: 9.000us

{'item_0': [2304, 3], 'time_cost': '0.0006339550018310547'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.52%       8.000us         3.43%      18.000us      18.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.90%      10.000us        49.90%     262.000us     262.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.81%      20.000us         7.43%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.24%      17.000us         3.62%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.71%      30.000us        79.43%     417.000us     417.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      27.00 Kb           0 b             1  
                                       aten::empty_like         3.24%      17.000us        23.81%     125.000us     125.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      27.00 Kb           0 b             1  
                                    aten::empty_strided        20.57%     108.000us        20.57%     108.000us     108.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      27.00 Kb      27.00 Kb             1  
                                       cudaLaunchKernel        49.90%     262.000us        49.90%     262.000us     131.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.71%       9.000us         5.52%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.57%       3.000us         3.81%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         1.14%       6.000us         3.24%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.71%       9.000us         2.10%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.95%       5.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.14%       6.000us         5.71%      30.000us      30.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         1.14%       6.000us         4.57%      24.000us      24.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -27.00 Kb     -27.00 Kb             1  
                                  cudaDeviceSynchronize         0.95%       5.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 525.000us
Self CUDA time total: 5.000us

{'item_0': [57, 2], 'time_cost': '0.0006248950958251953'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.74%       9.000us         3.49%      18.000us      18.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.94%      10.000us        50.00%     258.000us     258.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         4.46%      23.000us         8.14%      42.000us      42.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.29%      17.000us         3.68%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.39%       2.000us         0.39%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.81%      30.000us        79.07%     408.000us     408.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         3.88%      20.000us        23.26%     120.000us     120.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        19.38%     100.000us        19.38%     100.000us     100.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                       cudaLaunchKernel        49.81%     257.000us        49.81%     257.000us     128.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.55%       8.000us         5.43%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.78%       4.000us         3.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.97%       5.000us         3.10%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.74%       9.000us         2.13%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.39%       2.000us         0.39%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.78%       4.000us         0.97%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.16%       6.000us         5.43%      28.000us      28.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.78%       4.000us         4.26%      22.000us      22.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.97%       5.000us         0.97%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 516.000us
Self CUDA time total: 5.000us

{'item_0': [2304, 256], 'time_cost': '0.0006253719329833984'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.54%       8.000us         3.26%      17.000us      17.000us       9.000us        60.00%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us        60.00%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.92%      10.000us        50.67%     264.000us     264.000us       6.000us        40.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        40.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         4.03%      21.000us         7.68%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.26%      17.000us         3.65%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.95%      31.000us        79.85%     416.000us     416.000us       0.000us         0.00%       6.000us       6.000us           0 b           0 b       2.25 Mb           0 b             1  
                                       aten::empty_like         3.07%      16.000us        23.22%     121.000us     121.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.25 Mb           0 b             1  
                                    aten::empty_strided        20.15%     105.000us        20.15%     105.000us     105.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.25 Mb       2.25 Mb             1  
                                       cudaLaunchKernel        50.48%     263.000us        50.48%     263.000us     131.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.34%       7.000us         4.99%      26.000us      26.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.77%       4.000us         3.65%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.96%       5.000us         2.88%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.73%       9.000us         1.92%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.77%       4.000us         0.96%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.15%       6.000us         5.57%      29.000us      29.000us       0.000us         0.00%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         1.15%       6.000us         4.41%      23.000us      23.000us       0.000us         0.00%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.25 Mb      -2.25 Mb             1  
                                  cudaDeviceSynchronize         0.96%       5.000us         0.96%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 521.000us
Self CUDA time total: 15.000us

{'item_0': [31, 2], 'time_cost': '0.0006358623504638672'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.51%       8.000us         3.02%      16.000us      16.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.70%       9.000us        50.57%     268.000us     268.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.77%      20.000us         7.36%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.21%      17.000us         3.58%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.85%      31.000us        80.75%     428.000us     428.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         3.77%      20.000us        24.34%     129.000us     129.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        20.57%     109.000us        20.57%     109.000us     109.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                       cudaLaunchKernel        50.38%     267.000us        50.38%     267.000us     133.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.32%       7.000us         4.91%      26.000us      26.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.75%       4.000us         3.58%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.94%       5.000us         2.83%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.51%       8.000us         1.89%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.75%       4.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.13%       6.000us         5.09%      27.000us      27.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.94%       5.000us         3.96%      21.000us      21.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.94%       5.000us         0.94%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 530.000us
Self CUDA time total: 5.000us

{'item_0': [70, 2], 'time_cost': '0.0006780624389648438'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.47%       8.000us         7.71%      42.000us      42.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.83%      10.000us        48.07%     262.000us     262.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.85%      21.000us         7.34%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.12%      17.000us         3.49%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.37%       2.000us         0.37%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.69%      31.000us        75.41%     411.000us     411.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                                       aten::empty_like         2.94%      16.000us        21.65%     118.000us     118.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb           0 b             1  
