{'item_0': [43, 25601], 'item_1': [1], 'time_cost': '1.9643006324768066'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.11%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.64%      35.000us         0.83%      45.000us      45.000us       1.000us         0.11%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.11%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.39%      21.000us         0.57%      31.000us      31.000us       1.000us         0.11%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.11%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         5.10%     278.000us        33.03%       1.800ms       1.800ms       0.000us         0.00%      65.000us      65.000us           0 b           0 b         512 b     -10.16 Mb             1            --  
                                            aten::empty         2.59%     141.000us         2.59%     141.000us      15.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      25.41 Mb      25.41 Mb             9            --  
                                          aten::resize_         1.45%      79.000us         1.45%      79.000us      19.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         3.47%     189.000us         3.47%     189.000us      14.538us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.40%      22.000us         0.70%      38.000us      38.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.68%      37.000us         0.68%      37.000us       9.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                               aten::eq         1.19%      65.000us         4.33%     236.000us     118.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb           0 b             2            --  
                                             aten::item         0.29%      16.000us         0.53%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.24%      13.000us         0.24%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.40%      22.000us         0.97%      53.000us      53.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_        33.78%       1.841ms        34.00%       1.853ms     926.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         0.59%      32.000us         2.00%     109.000us     109.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.35%      19.000us         0.75%      41.000us      41.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         1.76%      96.000us         1.76%      96.000us      32.000us       0.000us         0.00%       0.000us       0.000us      15.24 Mb      15.24 Mb         512 b         512 b             3            --  
                                            aten::fill_         0.42%      23.000us         0.66%      36.000us      36.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      LogsumexpBackward         0.55%      30.000us         4.33%     236.000us     236.000us       0.000us         0.00%      60.000us      60.000us           0 b           0 b       5.08 Mb     -10.16 Mb             1            --  
                                        aten::unsqueeze         0.42%      23.000us         0.55%      30.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.04%       2.000us         0.04%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.40%      22.000us        40.53%       2.209ms       1.105ms       0.000us         0.00%     820.000us     410.000us      15.24 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         2.07%     113.000us        40.13%       2.187ms       1.093ms       0.000us         0.00%     820.000us     410.000us      15.24 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        17.34%     945.000us        17.34%     945.000us     945.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.07%       4.000us         0.07%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.26%      14.000us        20.07%       1.094ms       1.094ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -15.24 Mb     -15.24 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.450ms
Self CUDA time total: 945.000us

{'item_0': [29, 9217], 'item_1': [1], 'time_cost': '0.0026412010192871094'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        12.44%     301.000us        26.61%     644.000us     322.000us     163.000us        83.16%     163.000us      81.500us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     163.000us        83.16%     163.000us     163.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sub         2.98%      72.000us         6.32%     153.000us      76.500us       8.000us         4.08%       8.000us       4.000us           0 b           0 b       2.04 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         4.08%       8.000us       4.000us           0 b           0 b           0 b           0 b             2            --  
                                             aten::amax         3.10%      75.000us        10.95%     265.000us     132.500us       7.000us         3.57%      14.000us       7.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         3.57%       7.000us       7.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         1.53%      37.000us         3.22%      78.000us      78.000us       5.000us         2.55%       5.000us       5.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         2.55%       5.000us       5.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::exp         2.40%      58.000us         4.83%     117.000us      58.500us       4.000us         2.04%       4.000us       2.000us           0 b           0 b       3.30 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         2.04%       4.000us       2.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         2.31%      56.000us         3.47%      84.000us      84.000us       4.000us         2.04%       4.000us       4.000us           0 b           0 b       1.02 Mb           0 b             1         7.250  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         2.04%       4.000us       4.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         2.36%      57.000us         7.15%     173.000us      86.500us       1.000us         0.51%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         1.40%      34.000us         1.86%      45.000us      45.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.91%      22.000us         1.32%      32.000us      32.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_         7.98%     193.000us         8.35%     202.000us     101.000us       1.000us         0.51%       1.000us       0.500us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                            aten::fill_         0.99%      24.000us         1.49%      36.000us      36.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.51%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp        11.61%     281.000us        45.00%       1.089ms       1.089ms       0.000us         0.00%      22.000us      22.000us           0 b           0 b         512 b      -2.67 Mb             1            --  
                                            aten::empty         6.24%     151.000us         6.24%     151.000us      16.778us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.36 Mb       6.36 Mb             9            --  
                                          aten::resize_         3.18%      77.000us         3.18%      77.000us      19.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         8.72%     211.000us         8.72%     211.000us      16.231us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         1.03%      25.000us         1.90%      46.000us      46.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         1.69%      41.000us         1.69%      41.000us      10.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                               aten::eq         2.73%      66.000us         9.83%     238.000us     119.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb           0 b             2            --  
                                             aten::item         0.66%      16.000us         1.20%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.54%      13.000us         0.54%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.87%      21.000us         2.19%      53.000us      53.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         1.24%      30.000us         4.42%     107.000us     107.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.79%      19.000us         1.69%      41.000us      41.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         2.15%      52.000us         2.15%      52.000us      17.333us       0.000us         0.00%       0.000us       0.000us       3.06 Mb       3.06 Mb         512 b         512 b             3            --  
                                      LogsumexpBackward         1.61%      39.000us        12.69%     307.000us     307.000us       0.000us         0.00%      10.000us      10.000us           0 b           0 b       1.02 Mb      -2.67 Mb             1            --  
                                        aten::unsqueeze         1.28%      31.000us         1.57%      38.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.08%       2.000us         0.08%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.66%      16.000us        30.62%     741.000us     370.500us       0.000us         0.00%     163.000us      81.500us       3.06 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         2.11%      51.000us        29.96%     725.000us     362.500us       0.000us         0.00%     163.000us      81.500us       3.06 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        13.93%     337.000us        13.93%     337.000us     337.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.25%       6.000us         0.25%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.25%       6.000us         7.19%     174.000us     174.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us      -3.06 Mb      -3.06 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.420ms
Self CUDA time total: 196.000us

{'item_0': [86, 65537], 'item_1': [1], 'time_cost': '0.02669501304626465'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        37.71%       9.248ms        74.47%      18.261ms       9.130ms       7.503ms        93.55%       7.503ms       3.752ms           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       7.503ms        93.55%       7.503ms       7.503ms           0 b           0 b           0 b           0 b             1            --  
                                              aten::exp         0.24%      60.000us         0.48%     118.000us      59.000us     168.000us         2.09%     168.000us      84.000us           0 b           0 b      44.00 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     168.000us         2.09%     168.000us      84.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::sub         0.30%      73.000us         0.62%     151.000us      75.500us     160.000us         2.00%     160.000us      80.000us           0 b           0 b      44.00 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     160.000us         2.00%     160.000us      80.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         0.22%      55.000us         0.35%      85.000us      85.000us      83.000us         1.03%      83.000us      83.000us           0 b           0 b      22.00 Mb           0 b             1         1.036  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      83.000us         1.03%      83.000us      83.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::amax         0.23%      57.000us         0.76%     186.000us      93.000us      49.000us         0.61%      98.000us      49.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      49.000us         0.61%      49.000us      49.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         0.14%      35.000us         0.31%      77.000us      77.000us      49.000us         0.61%      49.000us      49.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      49.000us         0.61%      49.000us      49.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         0.21%      52.000us         0.65%     159.000us      79.500us       2.000us         0.02%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.09%      22.000us         0.13%      31.000us      31.000us       2.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_        19.23%       4.716ms        19.26%       4.724ms       2.362ms       2.000us         0.02%       2.000us       1.000us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         0.25%      62.000us         0.92%     226.000us     113.000us       1.000us         0.01%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.13%      32.000us         0.17%      42.000us      42.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.01%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         0.88%     217.000us         3.83%     940.000us     940.000us       0.000us         0.00%     270.000us     270.000us           0 b           0 b         512 b     -44.00 Mb             1            --  
                                            aten::empty         0.60%     148.000us         0.60%     148.000us      16.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     110.00 Mb     110.00 Mb             9            --  
                                          aten::resize_         0.29%      72.000us         0.29%      72.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         0.74%     182.000us         0.74%     182.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.09%      22.000us         0.15%      36.000us      36.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.15%      36.000us         0.15%      36.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.06%      15.000us         0.11%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.05%      13.000us         0.05%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.09%      21.000us         0.21%      52.000us      52.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::ones_like         0.15%      36.000us         0.47%     116.000us     116.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                       aten::empty_like         0.07%      18.000us         0.16%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1            --  
                                    aten::empty_strided         0.41%     101.000us         0.41%     101.000us      33.667us       0.000us         0.00%       0.000us       0.000us      64.50 Mb      64.50 Mb         512 b         512 b             3            --  
                                            aten::fill_         0.12%      29.000us         0.17%      41.000us      41.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                      LogsumexpBackward         0.17%      41.000us         1.30%     318.000us     318.000us       0.000us         0.00%     247.000us     247.000us           0 b           0 b      22.00 Mb     -44.00 Mb             1            --  
                                        aten::unsqueeze         0.12%      30.000us         0.15%      38.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                          CloneBackward         0.01%       2.000us         0.01%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                         torch::autograd::CopyBackwards         0.09%      21.000us        75.19%      18.437ms       9.219ms       0.000us         0.00%       7.503ms       3.752ms      64.50 Mb           0 b           0 b           0 b             2            --  
                                               aten::to         0.31%      75.000us        75.10%      18.416ms       9.208ms       0.000us         0.00%       7.503ms       3.752ms      64.50 Mb           0 b           0 b           0 b             2            --  
                                        cudaMemcpyAsync        36.73%       9.006ms        36.73%       9.006ms       9.006ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                  cudaStreamSynchronize         0.03%       7.000us         0.03%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                        torch::autograd::AccumulateGrad         0.07%      18.000us        19.20%       4.709ms       4.709ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -64.50 Mb     -64.50 Mb      -1.00 Kb      -1.00 Kb             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 24.522ms
Self CUDA time total: 8.020ms

{'item_0': [38, 26897], 'item_1': [1], 'time_cost': '0.0037810802459716797'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls        MFLOPS  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        21.03%     747.000us        41.24%       1.465ms     732.500us     622.000us        88.48%     622.000us     311.000us           0 b           0 b           0 b           0 b             2            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     622.000us        88.48%     622.000us     622.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sub         1.63%      58.000us         3.32%     118.000us      59.000us      26.000us         3.70%      26.000us      13.000us           0 b           0 b       7.80 Mb           0 b             2            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us         3.70%      26.000us      13.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::exp         1.21%      43.000us         2.48%      88.000us      44.000us      20.000us         2.84%      20.000us      10.000us           0 b           0 b       7.80 Mb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         2.84%      20.000us      10.000us           0 b           0 b           0 b           0 b             2            --  
                                              aten::mul         0.87%      31.000us         1.35%      48.000us      48.000us      12.000us         1.71%      12.000us      12.000us           0 b           0 b       3.90 Mb           0 b             1         3.167  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         1.71%      12.000us      12.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::amax         1.97%      70.000us         6.84%     243.000us     121.500us      11.000us         1.56%      22.000us      11.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         1.56%      11.000us      11.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::sum         1.01%      36.000us         2.20%      78.000us      78.000us       8.000us         1.14%       8.000us       8.000us           0 b           0 b         512 b           0 b             1            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         1.14%       8.000us       8.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::abs         1.58%      56.000us         4.73%     168.000us      84.000us       1.000us         0.14%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.14%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                               aten::eq         1.83%      65.000us         6.62%     235.000us     117.500us       1.000us         0.14%       2.000us       1.000us           0 b           0 b       1.00 Kb           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.14%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                              aten::log         0.62%      22.000us         0.87%      31.000us      31.000us       1.000us         0.14%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.14%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::add_        18.83%     669.000us        19.06%     677.000us     338.500us       1.000us         0.14%       1.000us       0.500us           0 b           0 b           0 b           0 b             2            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         0.14%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
                                        aten::logsumexp         7.91%     281.000us        29.79%       1.058ms       1.058ms       0.000us         0.00%      44.000us      44.000us           0 b           0 b         512 b      -7.80 Mb             1            --  
                                            aten::empty         3.63%     129.000us         3.63%     129.000us      14.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      19.50 Mb      19.50 Mb             9            --  
                                          aten::resize_         2.22%      79.000us         2.22%      79.000us      19.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             4            --  
                                       cudaLaunchKernel         4.76%     169.000us         4.76%     169.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            13            --  
                                          aten::squeeze         0.65%      23.000us         1.07%      38.000us      38.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::as_strided         0.90%      32.000us         0.90%      32.000us       8.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                             aten::item         0.45%      16.000us         0.82%      29.000us      29.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                              aten::_local_scalar_dense         0.37%      13.000us         0.37%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                     aten::masked_fill_         0.99%      35.000us         1.27%      45.000us      45.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void kernelPointwiseApply2<TensorMaskedFillOp<float,...         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                             aten::log_         0.59%      21.000us         1.46%      52.000us      52.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1            --  
