{'item_0': 18, 'item_1': 18, 'time_cost': '6.706372499465942'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.15%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      11.000us         2.62%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.67%      15.000us         0.67%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.252ms
Self CUDA time total: 3.000us

{'item_0': 14, 'item_1': 14, 'time_cost': '0.002427816390991211'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.79%      18.000us        87.94%       1.998ms     999.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.28%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.65%      83.000us       188.34%       4.279ms       2.139ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       2.00 Kb           0 b             2  
                                            aten::empty         3.96%      90.000us         3.96%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                            aten::zero_         0.66%      15.000us        87.94%       1.998ms       1.998ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.15%       1.980ms        87.15%       1.980ms     990.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.08%      70.000us      70.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.55%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.00 Kb      -2.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.272ms
Self CUDA time total: 3.000us

{'item_0': 26, 'item_1': 26, 'time_cost': '0.0024230480194091797'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.75%      17.000us        87.87%       1.993ms     996.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.28%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.70%      84.000us       188.18%       4.268ms       2.134ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       6.00 Kb           0 b             2  
                                            aten::empty         3.92%      89.000us         3.92%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb       3.00 Kb             1  
                                            aten::zero_         0.66%      15.000us        87.87%       1.993ms       1.993ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.13%       1.976ms        87.13%       1.976ms     988.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.13%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       3.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.60%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       3.00 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb       3.00 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -6.00 Kb      -6.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.268ms
Self CUDA time total: 3.000us

{'item_0': 3, 'item_1': 3, 'time_cost': '0.0024051666259765625'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.80%      18.000us        87.77%       1.974ms     987.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.44%      10.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.69%      83.000us       188.17%       4.232ms       2.116ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         4.09%      92.000us         4.09%      92.000us      92.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         0.62%      14.000us        87.73%       1.973ms       1.973ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.97%       1.956ms        86.97%       1.956ms     978.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.07%      69.000us      69.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.40%       9.000us         2.53%      57.000us      57.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.67%      15.000us         0.67%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.84%      19.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.249ms
Self CUDA time total: 3.000us

{'item_0': 52, 'item_1': 52, 'time_cost': '0.002397775650024414'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.80%      18.000us        87.73%       1.974ms     987.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.24%      28.000us      28.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.60%      81.000us       187.82%       4.226ms       2.113ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      22.00 Kb           0 b             2  
                                            aten::empty         4.00%      90.000us         4.00%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      11.00 Kb      11.00 Kb             1  
                                            aten::zero_         0.62%      14.000us        87.69%       1.973ms       1.973ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.93%       1.956ms        86.93%       1.956ms     978.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.33%      75.000us      75.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      11.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.80%      63.000us      63.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b      11.00 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         1.11%      25.000us      25.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      11.00 Kb           0 b             1  
                                    aten::empty_strided         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      11.00 Kb      11.00 Kb             1  
                                        cudaMemcpyAsync         0.84%      19.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -22.00 Kb     -22.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.250ms
Self CUDA time total: 3.000us

{'item_0': 2, 'item_1': 3, 'time_cost': '0.0023937225341796875'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.80%      18.000us        87.92%       1.973ms     986.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.45%      10.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.61%      81.000us       188.28%       4.225ms       2.112ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         3.97%      89.000us         3.97%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.45%      10.000us         0.45%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         0.67%      15.000us        87.92%       1.973ms       1.973ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.12%       1.955ms        87.12%       1.955ms     977.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.07%      69.000us      69.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.40%       9.000us         2.54%      57.000us      57.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.85%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.67%      15.000us         0.67%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.85%      19.000us         0.85%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.244ms
Self CUDA time total: 3.000us

{'item_0': 38, 'item_1': 38, 'time_cost': '0.0023849010467529297'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.84%      19.000us        88.04%       2.003ms       1.002ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.27%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.56%      81.000us       188.40%       4.286ms       2.143ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      12.00 Kb           0 b             2  
                                            aten::empty         3.96%      90.000us         3.96%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.00 Kb       6.00 Kb             1  
                                            aten::zero_         0.66%      15.000us        88.00%       2.002ms       2.002ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.21%       1.984ms        87.21%       1.984ms     992.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.08%      70.000us      70.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       6.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.55%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       6.00 Kb           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.00 Kb           0 b             1  
                                    aten::empty_strided         0.66%      15.000us         0.66%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.00 Kb       6.00 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -12.00 Kb     -12.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.275ms
Self CUDA time total: 3.000us

{'item_0': 24, 'item_1': 24, 'time_cost': '0.0024261474609375'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.75%      17.000us        87.13%       1.984ms     992.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.27%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.78%      86.000us       187.48%       4.269ms       2.135ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       5.00 Kb           0 b             2  
                                            aten::empty         4.61%     105.000us         4.61%     105.000us     105.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.50 Kb       2.50 Kb             1  
                                            aten::zero_         0.66%      15.000us        87.09%       1.983ms       1.983ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.39%       1.967ms        86.39%       1.967ms     983.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.12%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       2.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.48%      11.000us         2.59%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       2.50 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.83%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.50 Kb           0 b             1  
                                    aten::empty_strided         0.61%      14.000us         0.61%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.50 Kb       2.50 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -5.00 Kb      -5.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.277ms
Self CUDA time total: 3.000us

{'item_0': 64, 'item_1': 64, 'time_cost': '0.002456188201904297'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.78%      18.000us        87.46%       2.008ms       1.004ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
